sample_key, instrument
000139_119040, accordion
000145_172800, accordion
000154_288000, mallet_percussion
000178_3840, voice
000189_207360, guitar
000201_168960, accordion
000202_142080, banjo
000208_195840, piano
000212_211200, accordion
000247_76800, organ
000252_42240, ukulele
000258_3840, organ
000312_184320, trombone
000327_88320, synthesizer
000346_65280, synthesizer
000384_161280, voice
000385_249600, cymbals
000393_303360, drums
000396_821760, mandolin
000399_111360, drums
000410_192000, flute
000411_30720, flute
000416_545280, mallet_percussion
000425_165120, mallet_percussion
000438_245760, voice
000439_245760, voice
000450_88320, flute
000461_218880, violin
000493_42240, saxophone
000507_11520, bass
000513_57600, mallet_percussion
000602_103680, cello
000606_15360, banjo
000616_3840, synthesizer
000640_49920, accordion
000644_69120, trumpet
000685_215040, saxophone
000698_65280, drums
000715_199680, flute
000717_142080, accordion
000725_445440, banjo
000726_72960, clarinet
000776_42240, cymbals
000787_7680, mallet_percussion
000797_19200, bass
000814_122880, violin
000820_92160, drums
000832_23040, saxophone
000834_65280, saxophone
000846_103680, voice
000873_253440, cello
000874_107520, trumpet
000898_23040, mandolin
000920_165120, voice
000921_192000, flute
000929_38400, ukulele
000963_88320, flute
000973_7680, voice
000999_572160, drums
001020_395520, clarinet
001031_53760, drums
001036_34560, flute
001044_241920, accordion
001049_30720, flute
001089_80640, organ
001096_61440, ukulele
001102_161280, drums
001133_138240, saxophone
001135_23040, saxophone
001145_218880, organ
001175_161280, cymbals
001188_65280, saxophone
001197_72960, trombone
001206_456960, mallet_percussion
001210_184320, clarinet
001225_92160, organ
001240_1824000, mandolin
001264_407040, synthesizer
001289_38400, drums
001291_84480, bass
001305_142080, mandolin
001306_138240, synthesizer
001314_122880, mallet_percussion
001331_157440, organ
001335_207360, guitar
001343_72960, cello
001443_218880, voice
001475_176640, ukulele
001490_23040, banjo
001496_149760, mallet_percussion
001497_414720, mallet_percussion
001501_211200, violin
001506_126720, flute
001517_430080, voice
001537_69120, flute
001538_46080, flute
001542_176640, trumpet
001555_142080, cello
001557_284160, saxophone
001559_7680, drums
001561_360960, flute
001563_195840, clarinet
001564_583680, flute
001575_195840, voice
001623_69120, ukulele
001630_134400, clarinet
001639_161280, drums
001668_391680, bass
001683_11520, violin
001691_15360, banjo
001694_883200, saxophone
001697_0, violin
001726_295680, mallet_percussion
001745_42240, drums
001755_0, cello
001803_172800, saxophone
001871_84480, piano
001913_23040, ukulele
001917_84480, ukulele
001918_61440, saxophone
001919_88320, banjo
001921_80640, bass
001937_226560, trombone
001968_145920, mallet_percussion
001972_72960, mallet_percussion
001984_65280, bass
001999_53760, bass
002100_30720, flute
002106_96000, bass
003267_921600, ukulele
003285_57600, piano
003289_119040, cello
003367_138240, drums
003370_7680, flute
003426_76800, guitar
003429_249600, guitar
003443_165120, cello
003465_192000, banjo
003466_430080, banjo
003481_142080, guitar
003489_69120, banjo
003514_15360, saxophone
003522_195840, guitar
003533_72960, cymbals
003534_111360, bass
003538_161280, guitar
003565_57600, mallet_percussion
003573_57600, synthesizer
003602_349440, saxophone
003664_345600, banjo
003689_138240, saxophone
003696_3840, drums
003697_311040, flute
003710_126720, guitar
003717_303360, banjo
003726_349440, drums
003744_119040, saxophone
003747_453120, mandolin
003748_126720, accordion
003761_245760, flute
003765_184320, guitar
003774_3275520, accordion
003809_360960, violin
003827_26880, voice
003834_284160, drums
003839_157440, drums
003844_380160, bass
003846_303360, drums
003867_487680, organ
003872_0, clarinet
003875_264960, trumpet
003880_34560, violin
003882_180480, saxophone
003886_4239360, banjo
003920_172800, piano
003922_545280, mallet_percussion
003923_215040, bass
003928_157440, drums
003983_330240, trumpet
003985_0, bass
004012_879360, accordion
004014_299520, violin
004018_449280, drums
004040_222720, cello
004041_291840, accordion
004072_130560, cymbals
004073_30720, accordion
004080_111360, accordion
004081_1854720, accordion
004082_2039040, trombone
004084_3840, drums
004085_3840, bass
004095_107520, saxophone
004098_23040, accordion
004116_142080, organ
004117_787200, organ
004118_1059840, organ
004177_23040, cymbals
004180_130560, cymbals
004186_96000, cymbals
004201_7680, guitar
004207_334080, banjo
004211_222720, saxophone
004229_3840, guitar
004262_771840, cello
004310_115200, flute
004313_23040, banjo
004331_53760, saxophone
004374_1943040, bass
004399_1198080, banjo
004408_76800, saxophone
004429_2753280, cymbals
004441_88320, guitar
004445_3840, bass
004450_207360, trombone
004472_203520, organ
004498_222720, cymbals
004506_26880, flute
004509_153600, ukulele
004510_111360, ukulele
004514_837120, cello
004524_1190400, cymbals
004539_57600, ukulele
004542_7680, bass
004688_276480, flute
004709_234240, guitar
004739_153600, banjo
004740_145920, accordion
004749_38400, trumpet
004766_3840, guitar
004767_276480, organ
004787_0, bass
004795_0, guitar
004850_57600, piano
005014_72960, voice
005026_215040, flute
